,name,company,year,price,kms_driven,fuel_type
85,Brinjal Round,Brinjal Round,2017,25,27.5,kg
86,Cow pea(Long),Cow pea(Long),2019,20,22.5,kg
87,Green Peas,Green Peas,2009,55,57.5,kg
88,French Bean(Local),French Bean(Local),2010,30,32.5,kg
89,Soyabean Green,Soyabean Green,2008,55,57.5,kg
90,Bitter Gourd,Bitter Gourd,2009,16,18.0,kg
91,Bottle Gourd,Bottle Gourd,2005,18,19.0,kg
92,Pointed Gourd(Local),Pointed Gourd(Local),2014,30,32.5,kg
93,Snake Gourd,Snake Gourd,2011,30,32.5,kg
94,Smooth Gourd,Smooth Gourd,2011,15,17.5,kg
95,Sponge Gourd,Sponge Gourd,2011,45,47.5,kg
96,Pumpkin,Pumpkin,2013,18,19.0,kg
97,Squash(Long),Squash(Long),2012,20,22.5,kg
98,Okara,Okara,2014,18,20.0,kg
99,Christophine,Christophine,2012,35,37.5,kg
100,Brd Leaf Mustard,Brd Leaf Mustard,2009,40,42.5,kg
101,Spinach Leaf,Spinach Leaf,2013,45,47.5,kg
102,Cress Leaf,Cress Leaf,2014,40,42.5,kg
103,Mustard Leaf,Mustard Leaf,2015,35,37.5,kg
104,Fenugreek Leaf,Fenugreek Leaf,2013,40,42.5,kg
105,Onion Green,Onion Green,2016,40,42.5,kg
106,Mushroom(Kanya),Mushroom(Kanya),2014,180,190.0,kg
107,Asparagus,Asparagus,2016,100,125.0,kg
108,Neuro,Neuro,2013,50,55.0,kg
109,Brocauli,Brocauli,2012,70,75.0,kg
110,Sugarbeet,Sugarbeet,2014,35,37.5,kg
111,Drumstick,Drumstick,2014,45,47.5,kg
112,Red Cabbbage,Red Cabbbage,2012,60,65.0,kg
113,Lettuce,Lettuce,2014,45,47.5,kg
114,Celery,Celery,2015,120,125.0,kg
115,Parseley,Parseley,2014,180,185.0,kg
116,Fennel Leaf,Fennel Leaf,2007,40,42.5,kg
117,Mint,Mint,2014,120,125.0,kg
118,Turnip A,Turnip A,2009,45,47.5,kg
119,Tamarind,Tamarind,2013,65,67.5,kg
120,Bamboo Shoot,Bamboo Shoot,2013,50,55.0,kg
121,Tofu,Tofu,2015,55,57.5,kg
122,Gundruk,Gundruk,2014,190,195.0,kg
123,Apple(Jholey),Apple(Jholey),2011,110,120.0,kg
124,Banana,Banana,2012,70,75.0,kg
